"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","deliveryTimeText"
"https://chaldn.com/_mpimage/npoly-round-food-box-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148458&q=best&v=1&m=400&m=400&webp=1","255","Npoly Round Food Box","3 pcs","1 hr"
"https://chaldn.com/_mpimage/rfl-design-bowl-5-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132744&q=best&v=1&m=400&webp=1","110","RFL Design Bowl 5 ltr (Red)","each","1 hr"
"https://chaldn.com/_mpimage/npoly-classic-jug-black-white-22-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115200&q=best&v=1&m=400&webp=1","250","Npoly Classic Jug (Black & White) 2.2 ltr","each","1 hr"
"https://chaldn.com/_mpimage/rfl-dispo-knife-trans-set-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122149&q=best&v=1&m=400&webp=1","160","RFL Dispo knife Trans Set","50 pcs","1 hr"
"https://chaldn.com/_mpimage/npoly-laundry-basket-blue-15-x-15-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115215&q=best&v=1&m=400&m=400&webp=1","210","Npoly Laundry Basket (Blue) 15 x 15 inch","each","1 hr"
"https://chaldn.com/_mpimage/lacys-zipbag-quart-size-200-x175-mm-25-pcs-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D94859&q=best&v=1&m=400&webp=1","369","Lacy's Zipbag Quart Size 200 x175 mm (25 pcs)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-design-bucket-8-ltr-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132751&q=best&v=1&m=400&webp=1","150","RFL Design Bucket 8 ltr (SM Blue)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-net-stool-high-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95435&q=best&v=1&m=400&webp=1","320","RFL Net Stool High (Red)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-popular-chopping-board-white-34-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95572&q=best&v=1&m=400&webp=1","260","RFL Popular Chopping Board White 34 cm","each","1 hr"
"https://chaldn.com/_mpimage/hualanz-flask-500-ml-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95800&q=best&v=1&m=400&m=400&webp=1","676","Hualanz Flask (500 ml)","each","1 hr"
