"imageWrapperWrapper src","productV2discountedPrice","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/chashi-aromatic-chinigura-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126658&q=best&v=1&m=400&webp=1","","305","Chashi Aromatic Chinigura Rice","2 kg"
"https://chaldn.com/_mpimage/rupchanda-chinigura-premium-aromatic-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182970&q=best&v=1&m=400&webp=1","","155","Rupchanda Chinigura Premium Aromatic Rice","1 kg"
"https://chaldn.com/_mpimage/aci-aroma-chinigura-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177157&q=best&v=1&m=400&m=400&webp=1","","770","ACI Aroma Chinigura Rice","5 kg"
"https://chaldn.com/_mpimage/chashi-aromatic-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126657&q=best&v=1&m=400&webp=1","","175","Chashi Aromatic Chinigura Rice","1 kg"
"https://chaldn.com/_mpimage/aci-pure-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177233&q=best&v=1&m=400&webp=1","","495","ACI Pure Nazirshail Rice","5 kg"
"https://chaldn.com/_mpimage/aci-aroma-chinigura-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177164&q=best&v=1&m=400&webp=1","","310","ACI Aroma Chinigura Rice","2 kg"
"https://chaldn.com/_mpimage/pran-chinigura-aromatic-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132228&q=best&v=1&m=400&webp=1","","300","Pran Chinigura Aromatic Rice","2 kg"
"https://chaldn.com/_mpimage/pran-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48089&q=best&v=1&m=400&webp=1","","480","Pran Nazirshail Rice","5 kg"
"https://chaldn.com/_mpimage/pran-chinigura-aromatic-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108115&q=best&v=1&m=400&webp=1","","750","Pran Chinigura Aromatic Rice","5 kg"
"https://chaldn.com/_mpimage/pran-chinigura-aromatic-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154823&q=best&v=1&m=400&webp=1","","165","Pran Chinigura Aromatic Rice","1 kg"
"https://chaldn.com/_mpimage/rahul-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185295&q=best&v=1&m=400&webp=1","","165","Rahul Chinigura Rice","1 kg"
"https://chaldn.com/_mpimage/fresh-miniket-rice-premium-quality-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161053&q=best&v=1&m=400&webp=1","","490","Fresh Miniket Rice Premium Quality","5 kg"
"https://chaldn.com/_mpimage/finlay-black-fibre-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161245&q=best&v=1&m=400&m=400&webp=1","","250","Finlay Black Fibre Rice","1 kg"
"https://chaldn.com/_mpimage/finlay-brown-fibre-rice-3-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161246&q=best&v=1&m=400&m=400&webp=1","","460","Finlay Brown Fibre Rice","3 kg"
"https://chaldn.com/_mpimage/bpm-white-binni-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48068&q=best&v=1&m=400&m=400&webp=1","","170","BPM White Binni Rice","1 kg"
